Messenavn,Dato,Placering,Fokus/branche,Link
SMM,1.–4. september 2026,"Hamborg, Tyskland",Maritim industri,"<a href=""https://www.smm-hamburg.com/"" target=""_blank"">Læs mere</a>"
IFA Berlin,4.–8. september 2026,"Berlin, Tyskland",Elektronik og teknologi,"<a href=""https://www.ifa-berlin.com/"" target=""_blank"">Læs mere</a>"
CIRSE Annual Congress,5.–9. september 2026,"København, Danmark",Sundhed og medicoteknik,"<a href=""https://cirsecongress.cirse.org/about/theannualcongress/"" target=""_blank"">Læs mere</a>"
AUTOMATIK,8.–10. september 2026,"Brøndby, Danmark",Industri og automation,"<a href=""https://www.automatikmesse.dk/"" target=""_blank"">Læs mere</a>"
MSPO,8.–11. september 2026,"Kielce, Polen",Forsvar og sikkerhed,"<a href=""https://www.targikielce.pl/en/mspo"" target=""_blank"">Læs mere</a>"
Automechanika Frankfurt,8.–12. september 2026,"Frankfurt, Tyskland",Automotive og mobilitet,"<a href=""https://automechanika.messefrankfurt.com/frankfurt/en.html"" target=""_blank"">Læs mere</a>"
IBC,11.–14. september 2026,"Amsterdam, Nederlandene",Medier og teknologi,"<a href=""https://show.ibc.org/"" target=""_blank"">Læs mere</a>"
AMB,15.–19. september 2026,"Stuttgart, Tyskland",Industri og produktion,"<a href=""https://www.messe-stuttgart.de/amb/en/"" target=""_blank"">Læs mere</a>"
IAA Transportation,15.–20. september 2026,"Hannover, Tyskland",Transport og logistik,"<a href=""https://www.iaa-transportation.com/en"" target=""_blank"">Læs mere</a>"
WindEnergy Hamburg,22.–25. september 2026,"Hamborg, Tyskland",Energi og klima,"<a href=""https://www.windenergyhamburg.com/"" target=""_blank"">Læs mere</a>"
InnoTrans,22.–25. september 2026,"Berlin, Tyskland",Transport og logistik,"<a href=""https://www.innotrans.de/en"" target=""_blank"">Læs mere</a>"
PPMA Show,22.–24. september 2026,"Birmingham, Storbritannien",Emballage og produktion,"<a href=""https://www.ppmashow.co.uk/"" target=""_blank"">Læs mere</a>"
CFIA Toulouse,22.–24. september 2026,"Toulouse, Frankrig",Fødevarer og produktion,"<a href=""https://toulouse.cfiaexpo.com/en"" target=""_blank"">Læs mere</a>"
Batimat,28. september–1. oktober 2026,"Paris, Frankrig",Byggeri og arkitektur,"<a href=""https://www.batimat.com/en-gb.html"" target=""_blank"">Læs mere</a>"
Rengøringsmessen Rent i Danmark,30. september–1. oktober 2026,"Odense, Danmark",Rengøring og hygiejne,"<a href=""https://rengoeringsmessen.dk/"" target=""_blank"">Læs mere</a>"
Elbilmessen,2.–4. oktober 2026,"Herning, Danmark",Automotive og mobilitet,"<a href=""https://www.mch.dk/messer/publikumsmesser/elbilmessen"" target=""_blank"">Læs mere</a>"
CPHI Milan,6.–8. oktober 2026,"Milano, Italien",Sundhed og medicoteknik,"<a href=""https://www.cphi.com/europe/"" target=""_blank"">Læs mere</a>"
Alimentaria FoodTech,6.–8. oktober 2026,"Barcelona, Spanien",Fødevarer og produktion,"<a href=""https://www.alimentariafoodtech.com/en/alimentaria-foodtech/"" target=""_blank"">Læs mere</a>"
ALUMINIUM,6.–8. oktober 2026,"Düsseldorf, Tyskland",Industri og produktion,"<a href=""https://www.aluminium-exhibition.com/germany/en-gb.html"" target=""_blank"">Læs mere</a>"
Chillventa,13.–15. oktober 2026,"Nürnberg, Tyskland",Energi og klima,"<a href=""https://www.chillventa.de/en"" target=""_blank"">Læs mere</a>"
SIAL Paris,17.–21. oktober 2026,"Paris, Frankrig",Fødevarer og produktion,"<a href=""https://www.sialparis.com/en"" target=""_blank"">Læs mere</a>"
PACK EXPO International,18.–21. oktober 2026,"Chicago, USA",Emballage og produktion,"<a href=""https://www.packexpointernational.com/"" target=""_blank"">Læs mere</a>"
Scanautomatic,20.–22. oktober 2026,"Göteborg, Sverige",Industri og automation,"<a href=""https://en.scanautomatic.se/"" target=""_blank"">Læs mere</a>"
EuroBLECH,20.–23. oktober 2026,"Hannover, Tyskland",Industri og produktion,"<a href=""https://www.euroblech.com/en-gb.html"" target=""_blank"">Læs mere</a>"
glasstec,20.–23. oktober 2026,"Düsseldorf, Tyskland",Byggeri og arkitektur,"<a href=""https://www.glasstec-online.com/"" target=""_blank"">Læs mere</a>"
FoodTech Herning,27.–29. oktober 2026,"Herning, Danmark",Fødevarer og produktion,"<a href=""https://uk.foodtech.dk/"" target=""_blank"">Læs mere</a>"
ORGATEC,27.–30. oktober 2026,"Köln, Tyskland",Indretning og arbejdsmiljø,"<a href=""https://www.orgatec.com/"" target=""_blank"">Læs mere</a>"
Building Green CPH,28.–29. oktober 2026,"København, Danmark",Byggeri og arkitektur,"<a href=""https://buildinggreen.eu/cph/en/"" target=""_blank"">Læs mere</a>"
Smart City Expo World Congress,3.–5. november 2026,"Barcelona, Spanien",Byudvikling og teknologi,"<a href=""https://www.smartcityexpo.com/"" target=""_blank"">Læs mere</a>"
Ecomondo,3.–6. november 2026,"Rimini, Italien",Miljø og grøn teknologi,"<a href=""https://www.ecomondo.com/en"" target=""_blank"">Læs mere</a>"
BrauBeviale,10.–12. november 2026,"Nürnberg, Tyskland",Fødevarer og produktion,"<a href=""https://www.braubeviale.com/en-US/"" target=""_blank"">Læs mere</a>"
Elmia Subcontractor,10.–12. november 2026,"Jönköping, Sverige",Industri og produktion,"<a href=""https://www.elmia.se/en/subcontractor/"" target=""_blank"">Læs mere</a>"
EuroTier,10.–13. november 2026,"Hannover, Tyskland",Landbrug og fødevarer,"<a href=""https://www.eurotier.com/en/"" target=""_blank"">Læs mere</a>"
electronica,10.–13. november 2026,"München, Tyskland",Elektronik og teknologi,"<a href=""https://electronica.de/en/"" target=""_blank"">Læs mere</a>"
EIMA International,10.–14. november 2026,"Bologna, Italien",Landbrug og fødevarer,"<a href=""https://www.eima.it/en/"" target=""_blank"">Læs mere</a>"
Empack Madrid,11.–12. november 2026,"Madrid, Spanien",Emballage og produktion,"<a href=""https://www.empackmadrid.com/en/"" target=""_blank"">Læs mere</a>"
MEDICA,16.–19. november 2026,"Düsseldorf, Tyskland",Sundhed og medicoteknik,"<a href=""https://www.medica-tradefair.com/"" target=""_blank"">Læs mere</a>"
METSTRADE,17.–19. november 2026,"Amsterdam, Nederlandene",Maritim industri,"<a href=""https://www.metstrade.com/"" target=""_blank"">Læs mere</a>"
Formnext,17.–20. november 2026,"Frankfurt, Tyskland",Industri og produktion,"<a href=""https://formnext.mesago.com/frankfurt/en.html"" target=""_blank"">Læs mere</a>"
HEATEXPO,24.–26. november 2026,"Dortmund, Tyskland",Energi og klima,"<a href=""https://www.heat-expo.de/en/"" target=""_blank"">Læs mere</a>"
SPS – Smart Production Solutions,24.–26. november 2026,"Nürnberg, Tyskland",Industri og automation,"<a href=""https://sps.mesago.com/nuernberg/en.html"" target=""_blank"">Læs mere</a>"
Agromek,24.–27. november 2026,"Herning, Danmark",Landbrug og fødevarer,"<a href=""https://www.agromek.com/"" target=""_blank"">Læs mere</a>"
Horizons Clean Energy Expansion Week,24.–27. november 2026,"København, Danmark",Energi og klima,"<a href=""https://www.spglobal.com/energy/en/events/conferences/hceeweek"" target=""_blank"">Læs mere</a>"
Valve World Expo,1.–3. december 2026,"Düsseldorf, Tyskland",Industri og produktion,"<a href=""https://www.valveworldexpo.com/"" target=""_blank"">Læs mere</a>"
BAU,11.–15. januar 2027,"München, Tyskland",Byggeri og arkitektur,"<a href=""https://bau-muenchen.com/en/"" target=""_blank"">Læs mere</a>"
Heimtextil,12.–15. januar 2027,"Frankfurt, Tyskland",Indretning og livsstil,"<a href=""https://heimtextil.messefrankfurt.com/frankfurt/en.html"" target=""_blank"">Læs mere</a>"
Formex,19.–21. januar 2027,"Stockholm, Sverige",Indretning og livsstil,"<a href=""https://formex.se/"" target=""_blank"">Læs mere</a>"
imm cologne,19.–22. januar 2027,"Köln, Tyskland",Indretning og livsstil,"<a href=""https://www.imm-cologne.com/"" target=""_blank"">Læs mere</a>"
boot Düsseldorf,23.–31. januar 2027,"Düsseldorf, Tyskland",Maritim industri,"<a href=""https://www.boot.com/"" target=""_blank"">Læs mere</a>"
IPM ESSEN,26.–29. januar 2027,"Essen, Tyskland",Landbrug og fødevarer,"<a href=""https://www.ipm-essen.de/world-trade-fair/"" target=""_blank"">Læs mere</a>"
Ambiente,29. januar–2. februar 2027,"Frankfurt, Tyskland",Indretning og livsstil,"<a href=""https://ambiente.messefrankfurt.com/frankfurt/en.html"" target=""_blank"">Læs mere</a>"
Formland,31. januar–2. februar 2027,"Herning, Danmark",Indretning og livsstil,"<a href=""https://www.formland.dk/"" target=""_blank"">Læs mere</a>"
ISM Cologne,31. januar–3. februar 2027,"Köln, Tyskland",Fødevarer og produktion,"<a href=""https://www.ism-cologne.com/"" target=""_blank"">Læs mere</a>"
Spielwarenmesse,2.–6. februar 2027,"Nürnberg, Tyskland",Detailhandel og forbrugerprodukter,"<a href=""https://www.spielwarenmesse.de/en/"" target=""_blank"">Læs mere</a>"
Integrated Systems Europe (ISE),2.–5. februar 2027,"Barcelona, Spanien",Medier og teknologi,"<a href=""https://www.iseurope.org/"" target=""_blank"">Læs mere</a>"
CIFF,2.–4. februar 2027,"København, Danmark",Mode og livsstil,"<a href=""https://ciff.dk/"" target=""_blank"">Læs mere</a>"
FRUIT LOGISTICA,3.–5. februar 2027,"Berlin, Tyskland",Landbrug og fødevarer,"<a href=""https://www.fruitlogistica.com/en"" target=""_blank"">Læs mere</a>"
Oldenburger Rohrleitungsforum,4.–5. februar 2027,"Oldenburg, Tyskland",Industri og produktion,"<a href=""https://www.iro-online.de/"" target=""_blank"">Læs mere</a>"
BIOFACH,16.–19. februar 2027,"Nürnberg, Tyskland",Fødevarer og produktion,"<a href=""https://www.biofach.de/en"" target=""_blank"">Læs mere</a>"
EuroCIS,16.–18. februar 2027,"Düsseldorf, Tyskland",E-handel og digitalisering,"<a href=""https://www.eurocis-tradefair.com/"" target=""_blank"">Læs mere</a>"
INTERMOT,19.–21. februar 2027,"Köln, Tyskland",Automotive og mobilitet,"<a href=""https://www.intermot-cologne.com/"" target=""_blank"">Læs mere</a>"
Anuga FoodTec,23.–26. februar 2027,"Köln, Tyskland",Fødevarer og produktion,"<a href=""https://www.anugafoodtec.com/"" target=""_blank"">Læs mere</a>"
